"3X2772Y1147","2772","1147","3","45 Francis"
"1X2290Y0910","2290","910","1","45 Francis"
"L2X1681Y2747","1681","2747","L2","BTM"
"2X2279Y0902","2279","902","2","45 Francis"
"3X2492Y0851","2492","851","3","45 Francis"
"2X4240Y0730","4240","730","2","15 Francis"
"2X1590Y2604","1590","2604","2","BTM"
"1X1700Y1280","1700","1280","1","Tower"
"1X2026Y0976","2026","976","1","Tower"
"3X1628Y2052","1628","2052","3","Shapiro"
"L2X1642Y2089","1642","2089","L2","Shapiro"
"2X2055Y1280","2055","1280","2","Tower"
"L1X1688Y2131","1688","2131","L1","Shapiro"
"3X2252Y0851","2252","851","3","45 Francis"
"1X2240Y0985","2240","985","1","45 Francis"
"L2X1680Y2090","1680","2090","L2","Shapiro"
"2X1170Y1780","1170","1780","2","Shapiro"
"2X3535Y0645","3535","645","2","15 Francis"
"L2X1729Y2089","1729","2089","L2","Shapiro"
"2X4550Y0375","4550","375","2","15 Francis"
"3X1580Y2180","1580","2180","3","Shapiro"
"2X2605Y0902","2605","902","2","45 Francis"
"1X2770Y0980","2770","980","1","45 Francis"
"2X1955Y0900","1955","900","2","Tower"
"1X1720Y2847","1720","2847","1","BTM"
"1X2610Y0910","2610","910","1","45 Francis"
"1X1262Y1850","1262","1850","1","Shapiro"
"1X2055Y0910","2055","910","1","Tower"
"1X2585Y0910","2585","910","1","45 Francis"
"1X2385Y0910","2385","910","1","45 Francis"
"3X2631Y0851","2631","851","3","45 Francis"
"1X2275Y0785","2275","785","1","45 Francis"
"2X3296Y0880","3296","880","2","45 Francis"
"2X2177Y1010","2177","1010","2","45 Francis"
"2X3870Y0540","3870","540","2","15 Francis"
"1X2790Y1460","2790","1460","1","45 Francis"
"3X2868Y1075","2868","1075","3","45 Francis"
"3X1580Y2070","1580","2070","3","Shapiro"
"2X3950Y0865","3950","865","2","15 Francis"
"2X4000Y0645","4000","645","2","15 Francis"
"2X1283Y1781","1283","1781","2","Shapiro"
"L1X2445Y1043","2445","1043","L1","45 Francis"
"L1X2445Y1284","2445","1284","L1","45 Francis"
"2X1580Y2166","1580","2166","2","Shapiro"
"2X4125Y0625","4125","625","2","15 Francis"
"2X1875Y0925","1875","925","2","Tower"
"2X3075Y0960","3075","960","2","45 Francis"
"2X1396Y1781","1396","1781","2","Shapiro"
"2X1398Y2745","1398","2745","2","BTM"
"2X3490Y0825","3490","825","2","15 Francis"
"2X4570Y0455","4570","455","2","15 Francis"
"3X2570Y1290","2570","1290","3","45 Francis"
"1X1605Y2568","1605","2568","1","BTM"
"3X1735Y1030","1735","1030","3","Tower"
"1X1700Y1226","1700","1226","1","Tower"
"1X2760Y1405","2760","1405","1","45 Francis"
"1X2026Y1239","2026","1239","1","Tower"
"2X4725Y0995","4725","995","2","15 Francis"
"2X3063Y0963","3063","963","2","45 Francis"
"2X3895Y0695","3895","695","2","15 Francis"
"2X1395Y1820","1395","1820","2","Shapiro"
"2X2554Y1316","2554","1316","2","45 Francis"
"1X2385Y0810","2385","810","1","45 Francis"
"2X4635Y0680","4635","680","2","15 Francis"
"2X4130Y0650","4130","650","2","15 Francis"
"1X1758Y1060","1758","1060","1","Tower"
"2X1578Y1820","1578","1820","2","Shapiro"
"1X1605Y1029","1605","1029","1","Tower"
"3X1680Y1275","1680","1275","3","Tower"
"L1X2255Y0849","2255","849","L1","45 Francis"
"1X1700Y1120","1700","1120","1","Tower"
"1X1645Y1280","1645","1280","1","Tower"
"2X2279Y0786","2279","786","2","45 Francis"
"2X1615Y1025","1615","1025","2","Tower"
"3X2448Y1328","2448","1328","3","45 Francis"
"2X1578Y1932","1578","1932","2","Shapiro"
"2X4175Y0620","4175","620","2","15 Francis"
"2X4570Y0555","4570","555","2","15 Francis"
"1X2017Y0910","2017","910","1","Tower"
"2X1740Y1500","1740","1500","2","Tower"
"2X2238Y0932","2238","932","2","45 Francis"
"2X2085Y1280","2085","1280","2","45 Francis"
"3X1325Y0655","1325","655","3","Tower"
"L1X1845Y0924","1845","924","L1","Tower"
"2X2713Y0902","2713","902","2","45 Francis"
"2X2945Y0995","2945","995","2","45 Francis"
"2X2945Y0870","2945","870","2","45 Francis"
"1X1758Y1120","1758","1120","1","Tower"
"2X3630Y0810","3630","810","2","15 Francis"
"2X2330Y0590","2330","590","2","45 Francis"
"1X2835Y1460","2835","1460","1","45 Francis"
"2X4625Y0650","4625","650","2","15 Francis"
"3X2730Y1290","2730","1290","3","45 Francis"
"3X1580Y2142","1580","2142","3","Shapiro"
"3X2715Y1075","2715","1075","3","45 Francis"
"L1X1732Y0924","1732","924","L1","Tower"
"1X1534Y2777","1534","2777","1","BTM"
"1X1950Y0910","1950","910","1","Tower"
"1X1707Y1992","1707","1992","1","Shapiro"
"3X2255Y1255","2255","1255","3","45 Francis"
"2X3296Y0945","3296","945","2","45 Francis"
"2X4675Y0820","4675","820","2","15 Francis"
"2X2279Y0762","2279","762","2","45 Francis"
"1X1748Y1280","1748","1280","1","Tower"
"2X3575Y0825","3575","825","2","15 Francis"
"3X2323Y1034","2323","1034","3","45 Francis"
"2X4480Y0580","4480","580","2","15 Francis"
"2X3475Y0760","3475","760","2","15 Francis"
"2X1628Y2092","1628","2092","2","Shapiro"
"1X1401Y2628","1401","2628","1","BTM"
"1X1619Y2522","1619","2522","1","BTM"
"3X2362Y0764","2362","764","3","45 Francis"
"2X2554Y1389","2554","1389","2","45 Francis"
"2X4065Y0630","4065","630","2","15 Francis"
"2X1684Y1801","1684","1801","2","Shapiro"
"2X2554Y1472","2554","1472","2","45 Francis"
"L2X1698Y2776","1698","2776","L2","BTM"
"1X2950Y0705","2950","705","1","45 Francis"
"1X1270Y1830","1270","1830","1","Shapiro"
"1X1973Y0844","1973","844","1","Tower"
"1X2460Y0910","2460","910","1","45 Francis"
"2X2945Y0775","2945","775","2","45 Francis"
"2X2225Y1280","2225","1280","2","45 Francis"
"L2X2360Y0804","2360","804","L2","45 Francis"
"2X4545Y0460","4545","460","2","15 Francis"
"1X1722Y1832","1722","1832","1","Shapiro"
"2X2238Y0902","2238","902","2","45 Francis"
"3X1580Y2006","1580","2006","3","Shapiro"
"2X3555Y0730","3555","730","2","15 Francis"
"1X2910Y0890","2910","890","1","45 Francis"
"3X1562Y2230","1562","2230","3","Shapiro"
"1X1610Y1120","1610","1120","1","Tower"
"1X1758Y1029","1758","1029","1","Tower"
"2X1935Y0860","1935","860","2","Tower"
"2X2912Y0963","2912","963","2","45 Francis"
"3X1685Y2230","1685","2230","3","Shapiro"
"L1X2300Y0849","2300","849","L1","45 Francis"
"2X3970Y0880","3970","880","2","15 Francis"
"1X1645Y1246","1645","1246","1","Tower"
"1X1255Y1872","1255","1872","1","Shapiro"
"2X3635Y0830","3635","830","2","15 Francis"
"3X1685Y2106","1685","2106","3","Shapiro"
"L1X1785Y0924","1785","924","L1","Tower"
"L2X1630Y2742","1630","2742","L2","BTM"
"2X1728Y2042","1728","2042","2","Shapiro"
"3X2323Y1290","2323","1290","3","45 Francis"
"2X1340Y1820","1340","1820","2","Shapiro"
"3X2220Y1034","2220","1034","3","45 Francis"
"2X2439Y0902","2439","902","2","45 Francis"
"2X3490Y0845","3490","845","2","15 Francis"
"2X3163Y0945","3163","945","2","45 Francis"
"L2X2300Y0884","2300","884","L2","45 Francis"
"1X1548Y0930","1548","930","1","Tower"
"L2X1578Y2031","1578","2031","L2","Shapiro"
